Homepage,Homepage _Duration,Aboutus,Aboutus_Duration,Contactus,Contactus_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Province,TrafficType,VisitorType,Weekend
0,0,0,0,1,0,0.2,0.2,0,0,May,1,1,1,1,Returning_Visitor,FALSE
0,0,0,0,24,743.75,0,0.016666667,0,0,Dec,2,2,2,2,New_Visitor,TRUE
0,0,0,0,13,129.5,0.015384615,0.053846154,0,0,Nov,2,2,3,1,Returning_Visitor,FALSE
3,84,0,0,59,1720.422222,0.026984127,0.038231522,0,0,Oct,3,2,1,3,Returning_Visitor,TRUE
0,0,0,0,13,390.5,0.038461538,0.053846154,0,0,Dec,2,2,1,13,Returning_Visitor,FALSE
0,0,0,0,12,259.5,0.008333333,0.033333333,0,0,May,2,4,6,6,Returning_Visitor,FALSE
3,86.33333333,0,0,14,1256.333333,0,0.023076923,0,0,Nov,1,1,4,2,Returning_Visitor,FALSE
0,0,0,0,5,182.625,0,0.008,0,0,Dec,3,2,8,13,Returning_Visitor,FALSE
0,0,1,0,50,1115.459524,0.007843137,0.015686275,0,0,May,3,2,6,4,Returning_Visitor,TRUE
6,32.5,2,62.5,80,1190.418903,0.005714286,0.027420635,7.530107143,0.8,May,2,2,1,4,Returning_Visitor,FALSE
0,0,0,0,9,104.8333333,0.022222222,0.072222222,0,0,Mar,2,2,4,2,Returning_Visitor,FALSE
0,0,0,0,30,1285.166667,0.002758621,0.022660099,0,0,Nov,3,3,1,8,Returning_Visitor,TRUE
0,0,0,0,15,337,0.02,0.032222222,0,0,Jul,1,8,1,1,Returning_Visitor,FALSE
0,0,0,0,35,1608.7,0,0.002857143,0,0,Sep,2,4,3,2,New_Visitor,FALSE
0,0,1,0,0,0,0.2,0.2,0,0,Nov,1,1,4,15,Returning_Visitor,FALSE
0,0,0,0,4,10,0.1,0.15,0,0,Nov,2,2,1,1,Returning_Visitor,FALSE
0,0,0,0,28,2076.966667,0.003846154,0.017948718,0,0,Dec,2,2,8,2,Returning_Visitor,FALSE
3,80.6,2,112.8,10,390.2,0,0.015384615,0,0,Oct,2,5,3,20,Returning_Visitor,FALSE
0,0,0,0,12,366.5,0,0.016666667,287.9537928,0,Dec,2,2,1,2,New_Visitor,FALSE
2,46.4,0,0,16,463.36,0,0.011111111,46.33991252,0,Sep,2,2,7,2,Returning_Visitor,FALSE
0,0,0,0,3,23,0.044444444,0.111111111,0,0.8,May,2,2,6,1,Returning_Visitor,FALSE
7,79.5,2,31.5,65,5410.956705,0.002898551,0.019031516,0,0,Nov,2,2,3,2,Returning_Visitor,FALSE
2,45,0,0,9,96.46666667,0,0.018181818,0,0,Mar,2,2,3,1,Returning_Visitor,FALSE
8,352.2428571,6,241.5,45,1998.444081,0.009090909,0.01644733,2.842307011,0,Mar,3,2,1,2,Returning_Visitor,TRUE
15,275.9104437,6,606.75,47,1813.86461,0.007377049,0.019090804,9.417272131,0,May,3,2,4,6,Returning_Visitor,TRUE
