Homepage,Homepage _Duration,Aboutus,Aboutus_Duration,Contactus,Contactus_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Province,TrafficType,VisitorType,Weekend,Revenue
1,10,0,0,9,700,0,0.011111111,29.62188989,0,Dec,2,2,9,10,Returning_Visitor,FALSE,1
2,15,0,0,10,894.6666667,0,0.022222222,0,0,May,2,4,4,2,Returning_Visitor,FALSE,0
1,85,0,0,14,306.5,0,0.004444444,0,0,Mar,2,2,3,2,Returning_Visitor,FALSE,0
5,175.1,0,0,26,615.5595238,0,0.002083333,62.77367187,0,Sep,1,1,1,3,New_Visitor,TRUE,1
2,25,0,0,5,40,0.066666667,0.083333333,0,0.6,May,2,2,1,1,Returning_Visitor,FALSE,0
1,113.75,0,0,26,1905.078571,0.022666667,0.0346,11.70614611,0,Nov,3,2,2,1,Returning_Visitor,FALSE,1
0,0,0,0,53,1624.320952,0.009803922,0.01735761,0,0,Sep,3,2,4,3,Returning_Visitor,FALSE,0
9,102.8666667,3,339.5,29,693.2541667,0,0.014705882,77.64914484,0,Dec,2,10,1,2,Returning_Visitor,FALSE,1
4,49.3,0,0,12,524.9692308,0,0.0125,0,0,Sep,2,2,5,2,New_Visitor,FALSE,0
1,8,0,0,47,1459.576667,0.010416667,0.017638889,0,0,Oct,1,1,3,3,Returning_Visitor,FALSE,0
0,0,0,0,26,1114.733333,0.015384615,0.026098901,26.13034871,0,Nov,3,2,9,20,Returning_Visitor,TRUE,0
6,210.5,0,0,26,549.55,0.017241379,0.032758621,0,0,May,3,2,1,11,Returning_Visitor,TRUE,0
0,0,0,0,10,111,0,0.02,0,0,Mar,2,4,7,3,Returning_Visitor,FALSE,0
5,77,0,0,94,3210.848218,0.00212766,0.020921986,0,0,Oct,2,2,3,2,Returning_Visitor,TRUE,0
0,0,0,0,1,0,0.2,0.2,0,0,Dec,8,13,9,20,Other,FALSE,0
0,0,0,0,15,827.1666667,0.013333333,0.046666667,0,0,Dec,1,1,8,20,Returning_Visitor,FALSE,0
0,0,0,0,28,1384.071429,0.007142857,0.032380952,11.01942857,0,May,2,4,3,2,Returning_Visitor,FALSE,1
0,0,0,0,35,729.2916667,0,0.009387755,0,0,Dec,2,2,3,2,Returning_Visitor,FALSE,0
0,0,3,100,22,2175.993651,0.01,0.049312469,0,0,Mar,2,2,3,1,Returning_Visitor,FALSE,0
5,113.5,0,0,13,437.2,0,0.002222222,0,0,Mar,1,8,4,11,New_Visitor,FALSE,0
4,84,0,0,35,1059,0,0.005882353,0,0,Mar,2,2,3,2,New_Visitor,FALSE,0
7,229.75,0,0,33,760.6190476,0,0.011111111,51.86660251,0,Nov,2,2,3,2,New_Visitor,FALSE,1
0,0,0,0,14,1501,0.093333333,0.126666667,0,0,May,3,2,4,4,Returning_Visitor,FALSE,0
0,0,0,0,1,36,0,0.066666667,0,0,Mar,3,2,6,2,Returning_Visitor,TRUE,0
16,315.1449864,6,147.8666667,173,6255.017866,0.002531328,0.010737154,0,0,Mar,2,2,2,2,Returning_Visitor,FALSE,0
0,0,0,0,29,631.775,0.021428571,0.05042517,0,0,Nov,2,2,1,1,Returning_Visitor,FALSE,0
0,0,0,0,5,241,0,0.08,0,1,May,2,2,5,1,Returning_Visitor,TRUE,0
0,0,1,100,13,364.35,0,0.015384615,0,0,May,3,2,2,3,Returning_Visitor,TRUE,0
2,44.5,0,0,137,7012.266796,0.008321168,0.01964546,0,0,Nov,1,1,1,10,Returning_Visitor,TRUE,1
2,46.5,1,64.5,91,3309.448776,0.013285024,0.020476218,0,0,Nov,3,2,1,13,Returning_Visitor,TRUE,1
0,0,0,0,65,3873.02197,0.014393939,0.01991342,0,0,Nov,3,2,1,2,Returning_Visitor,TRUE,1
0,0,0,0,11,142.1666667,0.02,0.03,0,0,May,2,2,9,4,Returning_Visitor,TRUE,0
0,0,0,0,70,2083.3,0.000980392,0.005252101,0,0,May,2,2,7,2,Returning_Visitor,FALSE,0
12,569.825,0,0,127,6065.016218,0.006716418,0.009265038,0.152167439,0,Aug,1,1,2,4,Returning_Visitor,FALSE,1
0,0,0,0,25,770.0285714,0.0112,0.034933333,0,0,Mar,3,2,8,10,Returning_Visitor,FALSE,0
7,38.6,0,0,70,1087.7,0,0.004861111,0,0,Oct,2,2,4,5,Returning_Visitor,FALSE,0
4,105.2666667,0,0,35,655.6847619,0,0.005128205,0,0,Nov,2,10,7,2,New_Visitor,TRUE,0
0,0,0,0,3,63,0,0.066666667,0,0.8,May,1,1,9,1,Returning_Visitor,FALSE,0
0,0,0,0,8,126.25,0,0.05,0,0,Dec,2,2,3,2,New_Visitor,TRUE,0
0,0,0,0,10,199.6666667,0.01,0.045,0,0,Nov,3,2,4,3,Returning_Visitor,FALSE,0
0,0,0,0,4,135.6666667,0.05,0.025,0,0.4,Feb,3,3,1,4,Returning_Visitor,FALSE,0
1,37.5,0,0,25,593.2916667,0.008333333,0.00375,0,0,Dec,1,1,1,1,Returning_Visitor,TRUE,0
0,0,0,0,19,725.3333333,0.010526316,0.023157895,0,0,May,2,2,3,4,Returning_Visitor,FALSE,0
1,0,0,0,0,0,0.2,0.2,0,0,Nov,1,1,3,8,Returning_Visitor,FALSE,0
1,0,0,0,58,1200.5,0.002298851,0.017816092,17.98756852,0,Dec,2,10,3,6,Returning_Visitor,FALSE,0
7,75.05,0,0,31,489.1452381,0.011111111,0.022222222,27.38224222,0,Mar,2,2,5,2,Returning_Visitor,TRUE,1
1,8,0,0,28,643.875,0,0.003571429,0,0.6,May,2,4,1,2,New_Visitor,FALSE,0
4,26,0,0,18,727.6190476,0,0.013333333,0,0,May,2,2,5,3,New_Visitor,TRUE,0
4,72.5,0,0,95,2354.979058,0.00137457,0.005695387,5.214690992,0,Dec,3,2,1,2,Returning_Visitor,TRUE,0
8,192.5555556,1,91,109,2926.431962,0,0.001851852,12.8915,0,May,4,1,1,3,New_Visitor,FALSE,1
0,0,0,0,3,70,0,0.033333333,0,0.8,May,2,2,3,2,Returning_Visitor,FALSE,0
8,176.25,1,141,20,651.7658974,0,0.009230769,19.13285864,0,Nov,2,2,4,2,Returning_Visitor,FALSE,1
1,4,0,0,9,495,0.022222222,0.044444444,0,0.2,May,3,2,2,19,Returning_Visitor,FALSE,0
3,37.6,0,0,12,299.2666667,0,0.030769231,0,0,Sep,3,2,1,6,Returning_Visitor,FALSE,0
0,0,0,0,6,80,0.1,0.133333333,0,1,May,1,1,1,3,Returning_Visitor,TRUE,0
0,0,0,0,68,3177.791667,0.005970149,0.011488014,0,0,May,2,4,4,4,Returning_Visitor,FALSE,0
1,51.5,0,0,21,730.15,0,0.012121212,0,0,Nov,2,2,4,2,New_Visitor,FALSE,0
4,114.3333333,0,0,55,1247.357143,0.001886792,0.010691824,0,0,May,3,2,3,4,Returning_Visitor,TRUE,0
9,65.5,0,0,72,1243.80882,0.000675676,0.007297297,0,0,May,2,2,4,2,Returning_Visitor,FALSE,0
0,0,0,0,1,0,0.2,0.2,0,0,May,1,1,2,3,New_Visitor,FALSE,0
3,82.5,0,0,12,221.125,0.015384615,0.005128205,0,0,Nov,1,2,3,8,Returning_Visitor,FALSE,0
0,0,0,0,20,837.25,0.015,0.041666667,0,0,Dec,6,5,1,1,Returning_Visitor,FALSE,0
1,19.66666667,0,0,14,512.1111111,0.028571429,0.03,0,0,Mar,3,2,3,9,Returning_Visitor,TRUE,0
0,0,0,0,7,232.6666667,0,0.014285714,0,0,Mar,2,2,6,2,Returning_Visitor,FALSE,0
4,211.8,0,0,15,512.9,0,0.00625,0,0,Nov,1,1,3,2,New_Visitor,FALSE,0
2,11.92307692,2,139,80,4099.737392,0.004117063,0.005279668,16.88069613,0,Mar,3,2,1,2,Returning_Visitor,TRUE,1
0,0,0,0,11,431.1666667,0,0.004545455,0,0,Nov,1,1,1,2,Returning_Visitor,FALSE,0
0,0,0,0,6,149.5,0,0.066666667,0,0.4,May,2,2,1,13,Returning_Visitor,FALSE,0
0,0,0,0,18,587.7333333,0,0.022222222,32.52380772,0,Nov,2,2,7,4,Returning_Visitor,TRUE,1
5,179.5,0,0,36,1792.8,0,0.004390244,0,0,Mar,2,2,3,10,Returning_Visitor,FALSE,0
0,0,0,0,11,145,0.018181818,0.036363636,0,0,Nov,1,1,1,10,Returning_Visitor,FALSE,0
5,94.6,0,0,69,2222.419048,0.005092593,0.01496142,0,0,Oct,1,1,3,2,Returning_Visitor,FALSE,0
0,0,0,0,1,0,0.2,0.2,0,0,May,1,1,7,2,Returning_Visitor,TRUE,0
3,73.6,0,0,10,104.95,0,0.001851852,0,0,Oct,3,2,3,2,Returning_Visitor,TRUE,0
0,0,0,0,1,0,0.2,0.2,0,0,Dec,2,2,1,3,Returning_Visitor,FALSE,0
0,0,0,0,12,312.35,0,0.041666667,0,0,Nov,2,2,1,2,Returning_Visitor,FALSE,0
3,59.5,0,0,3,47.2,0.033333333,0.05,0,0,Aug,1,1,1,4,New_Visitor,FALSE,0
7,397.8333333,0,0,28,1249.628205,0,0.015053763,0,0,May,3,2,7,6,Returning_Visitor,FALSE,0
1,30.86666667,3,7,15,398.2566667,0,0.025,0,0,Nov,1,1,3,2,Returning_Visitor,FALSE,0
10,252.5,2,506,14,289.6666667,0,0.021212121,29.77418182,0,May,2,4,4,2,Returning_Visitor,FALSE,1
0,0,0,0,74,3109.404167,0.009459459,0.042859175,0,0,Nov,2,2,1,2,Returning_Visitor,FALSE,0
0,0,1,7,10,672.5142857,0,0.018181818,60.71287168,0,Sep,1,1,7,2,Returning_Visitor,FALSE,1
2,17,0,0,15,1349,0,0.005882353,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE,0
3,86,0,0,26,1197.666667,0,0.007142857,0,0,May,2,10,2,5,New_Visitor,FALSE,0
0,0,0,0,13,412,0,0.028205128,0,0,Mar,2,2,4,3,Returning_Visitor,FALSE,0
4,98.5,0,0,9,281.75,0,0.030909091,0,0,Dec,1,1,3,2,Returning_Visitor,FALSE,0
2,18.6,0,0,85,2834.280117,0.004883721,0.013388945,37.42337649,0,Nov,2,2,1,1,Returning_Visitor,TRUE,0
1,0,0,0,21,405.7095238,0.010743802,0.047002635,0,0,Feb,1,1,1,4,Returning_Visitor,FALSE,0
5,112.1666667,0,0,60,1883.866667,0.017460317,0.042436975,0,0,Nov,2,2,1,2,Returning_Visitor,FALSE,0
0,0,0,0,57,1384.5,0.010344828,0.034482759,0,0,May,2,2,3,13,Returning_Visitor,FALSE,0
0,0,0,0,5,182,0,0.04,0,0,Mar,3,2,6,1,Returning_Visitor,FALSE,0
0,0,0,0,4,6,0.1,0.15,0,0,June,2,2,2,4,Returning_Visitor,FALSE,0
0,0,0,0,11,304,0,0.018181818,0,0,May,2,2,3,4,Returning_Visitor,FALSE,0
0,0,0,0,1,0,0.2,0.2,0,0.6,May,3,2,1,13,Returning_Visitor,FALSE,0
0,0,0,0,1,0,0.2,0.2,0,0,Mar,2,2,2,1,Returning_Visitor,FALSE,0
0,0,0,0,7,110,0.057142857,0.142857143,0,0,Mar,3,2,8,1,Returning_Visitor,FALSE,0
5,44.74,3,129.75,18,390.4566667,0,0.019230769,0,0,Aug,2,2,1,4,Returning_Visitor,FALSE,0
8,166.7,0,0,9,171.7,0.016666667,0.05,0,0,Nov,2,2,1,3,Returning_Visitor,FALSE,0
8,889.1666667,0,0,137,5588.185426,0.000729167,0.026320008,6.898232461,0,Nov,2,2,1,3,Returning_Visitor,FALSE,1
0,0,0,0,13,182.25,0.046153846,0.076923077,0,0,Dec,2,2,1,1,Returning_Visitor,FALSE,0
1,11,2,42,37,1517.75,0.019512195,0.041869919,0,1,May,2,2,1,6,Returning_Visitor,TRUE,0
7,198.2585034,4,492.9,81,2237.757205,0.007231405,0.018203638,3.0265717,0,Nov,3,2,3,6,Returning_Visitor,TRUE,0
0,0,0,0,13,96.5,0.030769231,0.076923077,0,0,Mar,2,6,4,1,Returning_Visitor,FALSE,0
4,91,0,0,12,197,0,0.0375,0,0,Nov,2,2,1,2,New_Visitor,FALSE,0
1,79,0,0,22,1017.166667,0.013043478,0.022318841,0,0,Nov,1,1,1,2,Returning_Visitor,TRUE,0
0,0,0,0,7,384.5,0,0.028571429,0,0,May,2,4,1,5,Returning_Visitor,FALSE,0
0,0,0,0,15,748.5666667,0.016,0.041333333,0,0,Mar,2,2,1,2,Returning_Visitor,FALSE,0
0,0,0,0,2,0,0.2,0.2,0,0,Dec,2,2,3,1,Returning_Visitor,FALSE,0
4,291.9600939,4,52.4,219,6747.414492,0.003604845,0.020793071,5.408935339,0,June,2,2,6,1,Returning_Visitor,FALSE,0
0,0,0,0,17,840.2333333,0,0.001666667,109.176,0,Mar,2,2,9,2,New_Visitor,FALSE,1
0,0,0,0,3,61.75,0,0.066666667,0,0,Nov,2,10,1,3,Returning_Visitor,FALSE,0
3,75.6,0,0,122,1655.57,0,0.0064,17.0952864,0,Aug,2,10,4,3,Returning_Visitor,FALSE,1
0,0,0,0,7,137.5,0,0.033333333,0,0.6,May,2,2,1,3,Returning_Visitor,FALSE,0
1,8,0,0,22,699.2671429,0.028571429,0.037698413,10.79250883,0,Jul,3,2,1,1,Returning_Visitor,FALSE,1
2,15,0,0,38,1880.966667,0.003703704,0.023809524,12.59766667,0,May,4,1,1,4,Returning_Visitor,TRUE,1
